[1543775400] LOG ROTATION: DAILY
[1543775400] LOG VERSION: 2.0
[1543775400] CURRENT SERVICE STATE: sig6;CPU Load;OK;HARD;1;OK - load average: 0.01, 0.02, 0.05
[1543775400] CURRENT SERVICE STATE: sig6;CPU_Procs;OK;HARD;1;CPU OK: 295 processes
[1543775400] CURRENT SERVICE STATE: sig6;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1543775400] CURRENT SERVICE STATE: sig6;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 221534 MB (98% inode=99%):
[1543775400] CURRENT SERVICE STATE: sig6;HDD_Root status;OK;HARD;1;DISK OK - free space: / 38091 MB (74% inode=98%):
[1543775400] CURRENT SERVICE STATE: sig6;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sig6;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sig6;Total Processes;OK;HARD;1;PROCS OK: 298 processes
[1543775400] CURRENT SERVICE STATE: sigqscluster1;CPU Load;OK;HARD;1;OK - load average: 0.31, 0.48, 0.67
[1543775400] CURRENT SERVICE STATE: sigqscluster1;CPU_Procs;WARNING;HARD;3;CPU WARNING: 1 warn out of 338 processes
[1543775400] CURRENT SERVICE STATE: sigqscluster1;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1543775400] CURRENT SERVICE STATE: sigqscluster1;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224579 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: sigqscluster1;HDD_Root status;OK;HARD;1;DISK OK - free space: / 41245 MB (80% inode=99%):
[1543775400] CURRENT SERVICE STATE: sigqscluster1;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sigqscluster1;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sigqscluster1;Total Processes;OK;HARD;1;PROCS OK: 338 processes
[1543775400] CURRENT SERVICE STATE: sigqscluster2;CPU Load;OK;HARD;1;OK - load average: 0.41, 0.61, 0.86
[1543775400] CURRENT SERVICE STATE: sigqscluster2;CPU_Procs;CRITICAL;HARD;3;CPU CRITICAL: 1 crit, 0 warn out of 335 processes
[1543775400] CURRENT SERVICE STATE: sigqscluster2;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1543775400] CURRENT SERVICE STATE: sigqscluster2;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224577 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: sigqscluster2;HDD_Root status;OK;HARD;1;DISK OK - free space: / 41248 MB (80% inode=99%):
[1543775400] CURRENT SERVICE STATE: sigqscluster2;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sigqscluster2;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sigqscluster2;Total Processes;OK;HARD;1;PROCS OK: 336 processes
[1543775400] CURRENT SERVICE STATE: smscapp1;CPU Load;OK;HARD;1;OK - load average: 1.08, 0.62, 0.36
[1543775400] CURRENT SERVICE STATE: smscapp1;CPU_Procs;CRITICAL;HARD;3;CPU CRITICAL: 1 crit, 1 warn out of 328 processes
[1543775400] CURRENT SERVICE STATE: smscapp1;Current Users;OK;HARD;1;USERS OK - 5 users currently logged in
[1543775400] CURRENT SERVICE STATE: smscapp1;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 213677 MB (95% inode=99%):
[1543775400] CURRENT SERVICE STATE: smscapp1;HDD_Root status;OK;HARD;1;DISK OK - free space: / 39213 MB (76% inode=98%):
[1543775400] CURRENT SERVICE STATE: smscapp1;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 1 process with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: smscapp1;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: smscapp1;Total Processes;OK;HARD;1;PROCS OK: 327 processes
[1543775400] CURRENT SERVICE STATE: smscapp2;CPU Load;OK;HARD;1;OK - load average: 0.85, 1.04, 1.16
[1543775400] CURRENT SERVICE STATE: smscapp2;CPU_Procs;CRITICAL;HARD;3;CPU CRITICAL: 1 crit, 2 warn out of 338 processes
[1543775400] CURRENT SERVICE STATE: smscapp2;Current Users;OK;HARD;1;USERS OK - 3 users currently logged in
[1543775400] CURRENT SERVICE STATE: smscapp2;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 193324 MB (86% inode=99%):
[1543775400] CURRENT SERVICE STATE: smscapp2;HDD_Root status;OK;HARD;1;DISK OK - free space: / 39011 MB (76% inode=98%):
[1543775400] CURRENT SERVICE STATE: smscapp2;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 1 process with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: smscapp2;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: smscapp2;Total Processes;OK;HARD;1;PROCS OK: 338 processes
[1543775400] CURRENT SERVICE STATE: sservercluster1;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1543775400] CURRENT SERVICE STATE: sservercluster1;CPU_Procs;OK;HARD;1;CPU OK: 292 processes
[1543775400] CURRENT SERVICE STATE: sservercluster1;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1543775400] CURRENT SERVICE STATE: sservercluster1;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224004 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: sservercluster1;HDD_Root status;OK;HARD;1;DISK OK - free space: / 40223 MB (78% inode=99%):
[1543775400] CURRENT SERVICE STATE: sservercluster1;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sservercluster1;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sservercluster1;Total Processes;OK;HARD;1;PROCS OK: 292 processes
[1543775400] CURRENT SERVICE STATE: sservercluster2;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1543775400] CURRENT SERVICE STATE: sservercluster2;CPU_Procs;OK;HARD;1;CPU OK: 302 processes
[1543775400] CURRENT SERVICE STATE: sservercluster2;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1543775400] CURRENT SERVICE STATE: sservercluster2;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 219758 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: sservercluster2;HDD_Root status;OK;HARD;1;DISK OK - free space: / 41309 MB (80% inode=99%):
[1543775400] CURRENT SERVICE STATE: sservercluster2;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sservercluster2;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sservercluster2;Total Processes;OK;HARD;1;PROCS OK: 300 processes
[1543775400] CURRENT SERVICE STATE: webserver1;CPU Load;OK;HARD;1;OK - load average: 0.62, 0.64, 0.37
[1543775400] CURRENT SERVICE STATE: webserver1;CPU_Procs;OK;HARD;1;CPU OK: 358 processes
[1543775400] CURRENT SERVICE STATE: webserver1;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1543775400] CURRENT SERVICE STATE: webserver1;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224832 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: webserver1;HDD_Root status;OK;HARD;1;DISK OK - free space: / 41138 MB (80% inode=99%):
[1543775400] CURRENT SERVICE STATE: webserver1;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: webserver1;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
